timestamp,j1,j2,j3,j4,j5,j6,v1,v2,v3,v4,v5,v6,a1,a2,a3,a4,a5,a6,tau1,tau2,tau3,tau4,tau5,tau6,x,y,z,rx,ry,rz
1773665680.0951476,-0.00019174759848570515,-1.3965936335706335,0.522895701070518,0.6479151352831977,-0.37553767163425356,0.9043775482578283,-0.00019174759848570515,-1.3965936335706335,0.522895701070518,0.6479151352831977,-0.37553767163425356,0.9043775482578283,0.0,-0.06719566896112365,-0.20272411599525567,-1.013513264626403,0.18358079195626772,-0.43754581955885596,-0.21,-4.9559999999999995,-2.9400000000000004,0.416,-0.864,1.024,-0.20729770458045682,-0.19912100340390795,0.5879477174955763,0.2984581562509224,-0.6910491113808194,1.6775584899443436
1773665682.26896,0.033268208337269844,-1.2864346382405958,0.5509867242486738,0.677636013048482,-0.3313398501832985,0.8087913704127043,0.033268208337269844,-1.2864346382405958,0.5509867242486738,0.677636013048482,-0.3313398501832985,0.8087913704127043,-0.014206275945244831,-0.054369858653656414,-0.01786475378395604,-0.01843222434649535,-0.03620321269843043,0.046755888775423755,2.226,-7.476,-4.704,0.384,0.64,-1.152,-0.2427660155859126,-0.2086422285395605,0.5590529342253364,0.34643704211852033,-0.7539539679085574,1.596587822656415
1773665684.4463367,0.06596117387908257,-1.1775220023007154,0.5783107570328867,0.6936469375220383,-0.2868544073346149,0.6947974231129526,0.06596117387908257,-1.1775220023007154,0.5783107570328867,0.6936469375220383,-0.2868544073346149,0.6947974231129526,-0.009851332325389848,-0.025787661790829055,-0.010560264031028546,-0.008486042595661446,-0.029127987556731582,0.05001599902723796,2.688,-8.693999999999999,-4.536,0.512,0.992,-1.152,-0.2749753896015216,-0.22019736474156326,0.5252393005790035,0.37827583557391364,-0.785042132872444,1.5330749048245316
1773665686.6164238,0.09913350841710956,-1.0688969877585632,0.6051554208208855,0.6982488798856953,-0.23594541993666018,0.5635461919494874,0.09913350841710956,-1.0688969877585632,0.6051554208208855,0.6982488798856953,-0.23594541993666018,0.5635461919494874,0.0023332958660221936,-0.06257297896311571,-0.021589355222116646,-0.0075364643477391306,-0.014121182460699442,0.09634587838321922,2.814,-10.038,-3.99,0.672,0.512,-1.248,-0.30346817911836804,-0.2338872084330172,0.48633604939037467,0.3838057826548662,-0.7902902287104387,1.4935287164287385
1773665688.785648,0.1307718621672509,-0.9620935754020256,0.6318083370103984,0.6914418401394528,-0.1829272089553627,0.41896850269126573,0.1307718621672509,-0.9620935754020256,0.6318083370103984,0.6914418401394528,-0.1829272089553627,0.41896850269126573,-0.005828090696245539,-0.0295984407069389,-0.009527218288712804,0.0006818318697916862,-0.019654426942982327,0.04006981727640709,3.402,-12.642,-7.476,0.0,0.672,-1.152,-0.32724740310012324,-0.24842856106109132,0.4431036634801256,0.36495440960526876,-0.7725780743596153,1.4809199711071133
1773665690.9557173,0.16288958491360653,-0.8573993866288305,0.6574066414082401,0.6744721776734679,-0.12799152198920818,0.2649951811072445,0.16288958491360653,-0.8573993866288305,0.6574066414082401,0.6744721776734679,-0.12799152198920818,0.2649951811072445,-0.017075606564226086,-0.038240036360331256,-0.002065007491168765,0.007518036459373661,-0.02210696208670614,0.061223949134900923,3.234,-9.534,-6.3839999999999995,0.0,0.416,-1.312,-0.3452200459782803,-0.2638289893434361,0.39647159601559123,0.32965677554279155,-0.7346048420885984,1.4921363649274966
1773665693.1320703,0.194432064864505,-0.7535680620488212,0.6820462078136532,0.6459017854990978,-0.07142598043592517,0.10191384859515229,0.194432064864505,-0.7535680620488212,0.6820462078136532,0.6459017854990978,-0.07142598043592517,0.10191384859515229,-0.0024362752422231637,-0.05104362480237752,-0.021786100030330945,-0.0046096820767711115,-0.03222441480006677,0.037614572149099426,2.814,-13.314,-4.2,0.576,0.544,-1.248,-0.35772085355421196,-0.2792031565861295,0.34654651067699255,0.28545725303719255,-0.6745285632197049,1.5211343768071168
1773665695.310083,0.22329007843660365,-0.6531881942415546,0.7063022790220949,0.6084151299951425,-0.014668691284156444,-0.062030348110125616,0.22329007843660365,-0.6531881942415546,0.7063022790220949,0.6084151299951425,-0.014668691284156444,-0.062030348110125616,-0.0025061928186946966,-0.020438154195542468,-0.010133712614868203,0.01940348246308533,-0.023613712959537562,0.049880499848034984,3.99,-15.12,-6.468,0.576,0.48,-1.312,-0.3646410007514317,-0.29305437387375755,0.2952003073999347,0.24101963708020496,-0.5994190914668222,1.5598869002641138
1773665697.4751067,0.2534903251981022,-0.5557804142108164,0.7290243694426509,0.5614369683661447,0.04314320965928366,-0.22568692341767496,0.2534903251981022,-0.5557804142108164,0.7290243694426509,0.5614369683661447,0.04314320965928366,-0.22568692341767496,-0.01611247839839271,-0.050594851520841,-0.015970475258577706,0.007462210797518718,-0.01469244700025633,0.08916225389815081,3.444,-11.382000000000001,-5.586,0.288,0.48,-1.056,-0.3654494841946429,-0.30640432601320516,0.2431871514110563,0.2053500484783732,-0.5082975862533965,1.603902894794029
1773665699.6451192,0.2826359601679294,-0.4613447219566066,0.7504042266738071,0.5051590482105902,0.09980462501180953,-0.3818653423842818,0.2826359601679294,-0.4613447219566066,0.7504042266738071,0.5051590482105902,0.09980462501180953,-0.3818653423842818,-0.05133684502619571,-0.03532842999744119,0.00478474701632657,0.035741431495680535,-0.02720227322177275,0.0851335923018328,3.1919999999999997,-12.516,-4.578,0.32,0.512,-1.184,-0.36120106671113555,-0.31797250669438,0.19131121207475843,0.18169947511568285,-0.4087598969270349,1.6483332839679408
